n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,547,10,1,1,218,10,12690.487188647228,3998.2429427813227,126904.87188647228,404755.68001296,216.67124862880527
10,1,0,673,10,1,1,582,10,14078.865529343206,4437.199580293095,140788.65529343206,404755.68001296,216.67124862880527
10,2,0,375,10,1,1,215,10,10503.682753409397,3306.8985171280483,105036.82753409397,281985.22061076347,216.67124862880527
10,3,0,475,10,1,1,129,10,11824.301536179686,3724.3956989081676,118243.01536179686,281985.22061076347,216.67124862880527
10,4,0,479,10,1,1,436,10,11874.077533793548,3740.1322777426226,118740.77533793548,281985.22061076347,216.67124862880527
10,5,0,559,10,2,2,145,10,12829.177129330505,4042.0910016440575,128291.77129330505,404755.68001296,150.9692952005997
10,6,0,701,10,3,3,486,10,14369.217080741406,4529.000703558533,143692.17080741405,404755.68001296,124.22161529271375
10,7,0,565,10,1,1,547,10,12897.963864881764,4063.8386162212105,128979.63864881764,404755.68001296,216.67124862880527
10,8,0,519,10,3,3,237,10,12360.838476191084,3894.0224272676737,123608.38476191084,404755.68001296,124.22161529271375
10,9,0,555,10,1,1,211,10,12783.114040088676,4027.5277231559,127831.14040088677,404755.68001296,216.67124862880527
10,10,0,595,10,3,3,196,10,13236.545933668021,4170.88542904835,132365.45933668021,404755.68001296,124.22161529271375
10,11,0,491,10,1,1,228,10,12022.171410689174,3786.9520451794733,120221.71410689174,281985.22061076347,216.67124862880527
10,12,0,577,10,1,1,63,10,13034.450274282835,4106.990305293192,130344.50274282835,404755.68001296,216.67124862880527
10,13,0,755,10,2,2,26,10,14913.250018134875,4701.010543563831,149132.50018134876,404755.68001296,150.9692952005997
10,14,0,347,10,2,2,63,10,10103.092469428671,3180.2630277922685,101030.92469428672,281985.22061076347,150.9692952005997
10,15,0,599,10,1,1,401,10,13281.0391807519,4184.952590937429,132810.39180751902,404755.68001296,216.67124862880527
