n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,733,10,2,2,40,10,14694.034815023751,4631.699832421099,146940.34815023752,404755.68001296,150.9692952005997
10,1,0,755,10,1,1,320,10,14913.250018134875,4701.010543563831,149132.50018134876,404755.68001296,216.67124862880527
10,2,0,785,10,1,1,404,10,15207.095724377625,4793.918177906847,152070.95724377624,404755.68001296,216.67124862880527
10,3,0,793,10,1,1,372,10,15284.501954452413,4818.392440593443,152845.01954452414,404755.68001296,216.67124862880527
10,4,0,817,10,1,1,240,10,15514.40702373281,4891.08392860694,155144.0702373281,404755.68001296,216.67124862880527
10,5,0,779,10,2,2,327,10,15148.781884136451,4775.480562559361,151487.81884136453,404755.68001296,150.9692952005997
10,6,0,783,10,2,2,100,10,15187.682617678294,4787.780157609877,151876.82617678295,404755.68001296,150.9692952005997
10,7,0,763,10,1,1,435,10,14992.171158401532,4725.963639246794,149921.7115840153,404755.68001296,216.67124862880527
10,8,0,745,10,1,1,32,10,14814.008263609277,4669.632584884506,148140.0826360928,404755.68001296,216.67124862880527
10,9,0,787,10,2,2,462,10,15226.484117558526,4800.0483866996265,152264.84117558526,404755.68001296,150.9692952005997
10,10,0,735,10,2,2,416,10,14714.098215883138,4638.043395822169,147140.98215883138,404755.68001296,150.9692952005997
10,11,0,701,10,1,1,519,10,14369.217080741406,4529.000703558533,143692.17080741405,404755.68001296,216.67124862880527
10,12,0,777,10,1,1,719,10,15129.294065977148,4769.318927352756,151292.9406597715,404755.68001296,216.67124862880527
10,13,0,791,10,1,1,119,10,15265.18713934389,4812.285488576536,152651.8713934389,404755.68001296,216.67124862880527
10,14,0,761,10,2,2,100,10,14972.47981353475,4719.737673442597,149724.7981353475,404755.68001296,150.9692952005997
10,15,0,745,10,1,1,521,10,14814.008263609277,4669.632584884506,148140.0826360928,404755.68001296,216.67124862880527
10,16,0,743,10,2,2,213,10,14794.080148816263,4663.331781780218,147940.80148816263,404755.68001296,150.9692952005997
10,17,0,771,10,1,1,489,10,15070.679645068383,4750.786304190214,150706.79645068385,404755.68001296,216.67124862880527
10,18,0,771,10,1,1,147,10,15070.679645068383,4750.786304190214,150706.79645068385,404755.68001296,216.67124862880527
10,19,0,779,10,2,2,198,10,15148.781884136451,4775.480562559361,151487.81884136453,404755.68001296,150.9692952005997
11,0,0,1189,11,2,2,724,11,19635.57862760162,5904.891050579275,215991.3649036178,667488.0860602041,202.2898526451104
11,1,0,1157,11,1,1,495,11,19369.240517418708,5824.595418870408,213061.64569160578,667488.0860602041,288.1409568328545
11,2,0,1095,11,1,1,383,11,18842.51336769865,5665.798374094778,207267.64704468517,667488.0860602041,288.1409568328545
11,3,0,1107,11,2,2,272,11,18945.602087169846,5696.87735776583,208401.6229588683,667488.0860602041,202.2898526451104
11,4,0,1091,11,3,3,65,11,18808.025050572625,5655.400912713933,206888.27555629888,667488.0860602041,163.57640052388575
11,5,0,1081,11,1,1,903,11,18721.526641835688,5629.32358296374,205936.79306019258,667488.0860602041,288.1409568328545
11,6,0,1149,11,1,1,819,11,19302.082456289038,5804.348638240916,212322.9070191794,667488.0860602041,288.1409568328545
11,7,0,1161,11,1,1,725,11,19402.73248186379,5834.692566052532,213430.05730050168,667488.0860602041,288.1409568328545
11,8,0,1207,11,3,3,274,11,19783.820023149776,5949.582973697901,217622.02025464753,667488.0860602041,163.57640052388575
11,9,0,1167,11,2,2,358,11,19452.862438265012,5849.805736764714,213981.48682091513,667488.0860602041,202.2898526451104
11,10,0,1093,11,1,1,284,11,18825.27709741809,5660.602021016857,207078.04807159898,667488.0860602041,288.1409568328545
11,11,0,1213,11,1,1,1154,11,19832.98787989986,5964.406149669115,218162.86667889848,667488.0860602041,288.1409568328545
11,12,0,1135,11,1,1,438,11,19183.99081954385,5768.74646346272,211023.89901498237,667488.0860602041,288.1409568328545
11,13,0,1121,11,2,2,676,11,19065.16860627841,5732.924082409149,209716.8546690625,667488.0860602041,202.2898526451104
11,14,0,1183,11,1,1,454,11,19585.91578849557,5889.918677281838,215445.0736734513,667488.0860602041,288.1409568328545
11,15,0,1191,11,4,4,185,11,19652.105050376635,5909.873445079905,216173.15555414298,667488.0860602041,144.34056196408565
11,16,0,1207,11,1,1,391,11,19783.820023149776,5949.582973697901,217622.02025464753,667488.0860602041,288.1409568328545
11,17,0,1133,11,2,2,586,11,19167.061262442097,5763.642557583497,210837.67388686308,667488.0860602041,202.2898526451104
11,18,0,1209,11,1,1,426,11,19800.22285894016,5954.528116663491,217802.45144834177,667488.0860602041,288.1409568328545
11,19,0,1239,11,1,1,965,11,20044.656584704302,6028.2203316727555,220491.22243174733,667488.0860602041,288.1409568328545
12,0,0,1641,12,2,2,48,12,24098.71960985883,6940.86129022841,289184.6353183059,760658.4642350338,270.32565698837067
12,1,0,1877,12,1,1,1047,12,25774.982246223448,7424.722805631664,309299.7869546814,760658.4642350338,391.3658604966136
12,2,0,1609,12,3,3,346,12,23862.374509094985,6872.639487734121,286348.49410913984,760658.4642350338,220.8723312005291
12,3,0,1671,12,2,2,144,12,24318.209056659707,7004.217741502594,291818.5086799165,760658.4642350338,270.32565698837067
12,4,0,1837,12,1,1,1579,12,25498.619974157315,7344.949160627835,305983.4396898878,760658.4642350338,391.3658604966136
12,5,0,1603,12,1,1,165,12,23817.798962263216,6859.772618749563,285813.5875471586,760658.4642350338,391.3658604966136
12,6,0,1623,12,1,1,1153,12,23966.062009478977,6902.569218437812,287592.7441137477,760658.4642350338,391.3658604966136
12,7,0,1643,12,1,1,92,12,24113.414336645073,6945.102975511927,289360.9720397409,760658.4642350338,391.3658604966136
12,8,0,1657,12,1,1,1230,12,24216.027985567187,6974.722781870791,290592.33582680626,760658.4642350338,391.3658604966136
12,9,0,1565,12,2,2,1388,12,23533.52846625439,6777.717151394807,282402.3415950527,760658.4642350338,270.32565698837067
12,10,0,1643,12,1,1,58,12,24113.414336645073,6945.102975511927,289360.9720397409,760658.4642350338,391.3658604966136
12,11,0,1607,12,1,1,15,12,23847.52524236042,6868.35320071476,286170.30290832504,760658.4642350338,391.3658604966136
12,12,0,1787,12,1,1,664,12,25148.900678462116,7244.000731985967,301786.8081415454,760658.4642350338,391.3658604966136
