n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
12,0,299,12,16,16,28,12,0.0384754,1.38889,1.23123e-05
12,0,255,12,1,1,39,12,0.0355255,0.961745,4.69639e-05
12,0,201,12,1,1,125,12,0.0315312,0.961745,4.69639e-05
12,0,405,12,5,5,96,12,0.0448526,1.39074,2.08325e-05
12,0,261,12,2,2,100,12,0.035942,1.38889,3.24391e-05
12,0,375,12,4,4,79,12,0.0431563,1.39074,2.32719e-05
12,0,183,12,3,3,20,12,0.0300824,0.961745,2.65047e-05
12,0,303,12,4,4,207,12,0.0387325,1.38889,2.32719e-05
12,0,175,12,2,2,91,12,0.0294157,0.961745,3.24391e-05
12,0,261,12,1,1,98,12,0.035942,1.38889,4.69639e-05
12,0,341,12,8,8,22,12,0.0410946,1.38889,1.68294e-05
12,0,401,12,11,11,35,12,0.0446301,1.39074,1.45404e-05
13,0,369,12,1,2,248,12,0.0445604,1.56849,4.4192e-05
13,0,501,13,5,5,41,13,0.0519362,1.56849,2.81584e-05
13,0,257,13,2,2,112,13,0.0371246,1.56639,4.4192e-05
13,0,381,13,1,1,212,13,0.0452805,1.56849,6.42247e-05
13,0,393,13,3,3,310,13,0.0459893,1.56849,3.59999e-05
13,0,289,13,8,8,88,13,0.0393731,1.56639,2.26476e-05
13,0,467,13,19,19,30,13,0.0501401,1.56849,1.516e-05
13,0,613,13,12,12,44,13,0.0574579,2.25104,1.85814e-05
13,0,399,13,4,4,49,13,0.0463397,1.56849,3.11816e-05
13,0,425,13,4,4,111,13,0.0478284,1.56849,3.11816e-05
13,0,341,13,6,6,105,13,0.0428332,1.56849,2.56843e-05
13,0,393,13,4,4,18,13,0.0459893,1.56849,3.11816e-05
13,0,279,13,2,2,273,13,0.0386844,1.56639,4.4192e-05
13,0,385,13,3,3,178,13,0.045518,1.56849,3.59999e-05
13,0,401,13,4,4,275,13,0.0464559,1.56849,3.11816e-05
13,0,671,13,20,20,18,13,0.0601186,2.25104,1.48534e-05
13,0,421,13,24,28,132,13,0.0476024,1.56849,1.27806e-05
13,0,469,13,5,5,36,13,0.0502475,1.56849,2.81584e-05
13,0,537,13,2,2,73,13,0.0537728,2.25104,4.4192e-05
13,0,353,13,9,9,42,13,0.0435818,1.56849,2.12693e-05
13,0,601,13,8,8,59,13,0.0568919,2.25104,2.26476e-05
13,0,215,13,2,2,33,13,0.0339487,1.08472,4.4192e-05
13,0,313,13,1,1,73,13,0.0409787,1.56639,6.42247e-05
13,0,311,13,1,1,287,13,0.0408473,1.56639,6.42247e-05
13,0,331,13,3,3,248,13,0.0421992,1.56849,3.59999e-05
13,0,403,13,9,12,95,13,0.0465718,1.56849,1.85814e-05
13,0,243,13,1,1,115,13,0.0360969,1.08472,6.42247e-05
13,0,425,13,9,9,35,13,0.0478284,1.56849,2.12693e-05
13,0,741,13,40,40,48,13,0.0631809,2.25104,1.09252e-05
13,0,425,13,11,11,43,13,0.0478284,1.56849,1.95393e-05
14,0,407,14,8,8,122,14,0.0485727,1.75323,3.03931e-05
14,0,431,14,8,8,188,14,0.0499868,1.75323,3.03931e-05
14,0,487,14,2,2,269,14,0.0531403,1.75323,6.05774e-05
