n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,357,10,2,2,155,10,10247.954146974074,3226.056642196817,102479.54146974074,281985.22061076347,150.9692952005997
10,1,0,573,10,5,5,123,10,12989.113875517658,4092.6566798292097,129891.13875517658,404755.68001296,96.39500722500266
10,2,0,359,10,1,1,185,10,10276.681993499058,3235.138129668499,102766.81993499058,281985.22061076347,216.67124862880527
10,3,0,629,10,1,1,216,10,13610.110785600376,4288.9937528391865,136101.10785600377,404755.68001296,216.67124862880527
10,4,0,457,10,1,1,324,10,11597.671365608909,3652.7474687506933,115976.7136560891,281985.22061076347,216.67124862880527
10,5,0,435,10,1,1,156,10,11314.528484192228,3563.234009133519,113145.28484192227,281985.22061076347,216.67124862880527
10,6,0,451,10,3,3,303,10,11521.139324938356,3628.5523316307144,115211.39324938356,281985.22061076347,124.22161529271375
10,7,0,409,10,1,1,344,10,10970.507225463958,3454.4759908461874,109705.07225463958,281985.22061076347,216.67124862880527
10,8,0,537,10,1,1,262,10,12573.745853833585,3961.3342939424915,125737.45853833585,404755.68001296,216.67124862880527
10,9,0,557,10,2,2,425,10,12806.166258402034,4034.815895756116,128061.66258402035,404755.68001296,150.9692952005997
10,10,0,595,10,2,2,182,10,13236.545933668021,4170.88542904835,132365.45933668021,404755.68001296,150.9692952005997
10,11,0,653,10,2,2,94,10,13867.75630151326,4370.453108669978,138677.5630151326,404755.68001296,150.9692952005997
10,12,0,755,10,1,1,644,10,14913.250018134875,4701.010543563831,149132.50018134876,404755.68001296,216.67124862880527
10,13,0,573,10,1,1,356,10,12989.113875517658,4092.6566798292097,129891.13875517658,404755.68001296,216.67124862880527
10,14,0,357,10,2,2,98,10,10247.954146974074,3226.056642196817,102479.54146974074,281985.22061076347,150.9692952005997
10,15,0,461,10,1,1,328,10,11648.413930771725,3668.7894671310933,116484.13930771725,281985.22061076347,216.67124862880527
10,16,0,389,10,2,2,76,10,10698.366533081515,3368.4435258377675,106983.66533081514,281985.22061076347,150.9692952005997
10,17,0,275,10,1,1,179,10,8991.629548278082,2828.9245685234564,89916.29548278083,281985.22061076347,216.67124862880527
10,18,0,459,10,2,2,57,10,11623.070284239537,3660.7772003506966,116230.70284239537,281985.22061076347,150.9692952005997
10,19,0,563,10,1,1,69,10,12875.075713827067,4056.602292778113,128750.75713827068,404755.68001296,216.67124862880527
11,0,0,993,11,3,3,53,11,17942.39159754089,5394.43311389103,197366.3075729498,467060.8670949125,163.57640052388575
11,1,0,737,11,2,2,203,11,15454.387514550148,4644.378337518177,169998.26266005164,467060.8670949125,202.2898526451104
11,2,0,705,11,1,1,289,11,15114.66173830597,4541.964449017134,166261.27912136566,467060.8670949125,288.1409568328545
11,3,0,375,11,1,1,245,11,11017.442190092133,3306.8985171280483,121191.86409101347,325409.8371753333,288.1409568328545
11,4,0,367,11,4,4,65,11,10899.050329939028,3271.21373064737,119889.5536293293,325409.8371753333,144.34056196408565
11,5,0,555,11,1,1,265,11,13408.136268807608,4027.5277231559,147489.49895688368,467060.8670949125,288.1409568328545
11,6,0,1135,11,1,1,992,11,19183.99081954385,5768.74646346272,211023.89901498237,667488.0860602041,288.1409568328545
11,7,0,695,11,3,3,497,11,15006.922736812927,4509.485563331439,165076.1501049422,467060.8670949125,163.57640052388575
11,8,0,615,11,1,1,167,11,14115.485564024048,4240.757154194978,155270.34120426452,467060.8670949125,288.1409568328545
11,9,0,311,11,1,1,171,11,10031.348363191244,3009.6859192610577,110344.83199510368,325409.8371753333,288.1409568328545
11,10,0,679,11,1,1,316,11,14832.915212078875,4457.029611446348,163162.06733286762,467060.8670949125,288.1409568328545
11,11,0,407,11,2,2,251,11,11478.829642493689,3445.9687601815012,126267.12606743058,325409.8371753333,202.2898526451104
11,12,0,793,11,3,3,326,11,16031.618858037953,4818.392440593443,176347.80743841748,467060.8670949125,163.57640052388575
11,13,0,327,11,2,2,50,11,10286.717828073499,3086.6533484065567,113153.89610880849,325409.8371753333,202.2898526451104
11,14,0,423,11,2,2,115,11,11702.71728343458,3513.4536362699596,128729.89011778038,325409.8371753333,202.2898526451104
