n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
15,0,0,16163,15,1,1,14277,15,84615.3630086321,21830.700274318842,1269230.4451294816,3057270.3852019263,1018.9831563404214
15,1,0,16525,15,3,3,6947,15,85557.92917787484,22074.067952353438,1283368.9376681226,4335150.934682856,563.6848043032306
15,2,0,16241,15,2,2,3655,15,84819.34244963972,21883.367133411826,1272290.1367445958,3057270.3852019263,695.9487945820046
15,3,0,16693,15,1,1,10859,15,85991.85423327767,22186.106077143904,1289877.813499165,4335150.934682856,1018.9831563404214
15,4,0,16653,15,2,2,9458,15,85888.73753587488,22159.481659857178,1288331.0630381233,4335150.934682856,695.9487945820046
15,5,0,16465,15,2,2,12467,15,85402.42177501977,22033.91641769156,1281036.3266252966,4335150.934682856,695.9487945820046
15,6,0,16313,15,1,1,8648,15,85007.19685118955,21931.870559046765,1275107.9527678434,3057270.3852019263,1018.9831563404214
15,7,0,16199,15,1,1,10332,15,84709.56838362713,21855.02380975257,1270643.525754407,3057270.3852019263,1018.9831563404214
15,8,0,16589,15,3,3,6710,15,85723.4928885767,22116.815996083016,1285852.3933286504,4335150.934682856,563.6848043032306
15,9,0,16653,15,1,1,10190,15,85888.73753587488,22159.481659857178,1288331.0630381233,4335150.934682856,1018.9831563404214
15,10,0,16205,15,2,2,2995,15,84725.25909856135,21859.075103689076,1270878.8864784203,3057270.3852019263,695.9487945820046
15,11,0,16247,15,2,2,1438,15,84835.01286674569,21887.413186592697,1272525.1930011853,3057270.3852019263,695.9487945820046
15,12,0,16767,15,2,2,9993,15,86182.29495395887,22235.277292600593,1292734.4243093831,4335150.934682856,695.9487945820046
15,13,0,16659,15,1,1,16514,15,85904.21292922224,22163.477359267494,1288563.1939383335,4335150.934682856,1018.9831563404214
15,14,0,16201,15,1,1,10116,15,84714.79894476254,21856.374324415603,1270721.9841714383,3057270.3852019263,1018.9831563404214
16,0,1,26279,16,3,3,6202,16,111438.51618043585,27842.512109314357,1783016.2588869736,4775973.221584244,779.1233637530053
16,1,1,26675,16,1,1,2640,16,112275.18597796145,28051.678567314848,1796402.9756473831,4775973.221584244,1416.3357787609364
16,2,0,27117,16,1,1,15850,16,113201.74341551466,28283.31684591038,1811227.8946482346,4775973.221584244,1416.3357787609364
16,3,0,26739,16,1,1,21219,16,112409.82091067809,28085.337142341526,1798557.1345708494,4775973.221584244,1416.3357787609364
16,4,1,27439,16,2,2,13751,16,113872.00103864449,28450.880480824926,1821952.0166183119,4775973.221584244,964.288510389305
16,5,1,27141,16,3,3,18923,16,113251.83728969151,28295.840256525797,1812029.3966350642,4775973.221584244,779.1233637530053
16,6,1,26355,16,1,1,21632,16,111599.5754674286,27882.776739066234,1785593.2074788576,4775973.221584244,1416.3357787609364
16,7,1,26703,16,1,1,11161,16,112334.10861217095,28066.40915660558,1797345.7377947352,4775973.221584244,1416.3357787609364
16,8,0,27141,16,1,1,23016,16,113251.83728969151,28295.840256525797,1812029.3966350642,4775973.221584244,1416.3357787609364
16,9,0,26845,16,1,1,1531,16,112632.45607978335,28140.995673922895,1802119.2972765337,4775973.221584244,1416.3357787609364
16,10,0,26901,16,1,1,26599,16,112749.89722285584,28170.355822587877,1803998.3555656935,4775973.221584244,1416.3357787609364
16,11,0,26341,16,1,1,20874,16,111569.92411756483,27875.36393690562,1785118.7858810374,4775973.221584244,1416.3357787609364
16,12,1,27025,16,1,1,25192,16,113009.51123358688,28235.259023202943,1808152.17973739,4775973.221584244,1416.3357787609364
16,13,1,27033,16,1,1,22282,16,113026.24005171329,28239.441208317745,1808419.8408274127,4775973.221584244,1416.3357787609364
16,14,1,27039,16,1,1,4515,16,113038.78504094188,28242.57744106792,1808620.56065507,4775973.221584244,1416.3357787609364
17,0,1,42195,17,1,1,19265,17,145561.59969700628,35286.5573061843,2474547.194849107,7411431.000230055,1976.1009698378987
17,1,2,44599,17,1,1,15676,17,149651.3901215261,36278.47430243125,2544073.632065944,7411431.000230055,1976.1009698378987
17,2,1,43355,17,2,2,30815,17,147549.1940130012,35768.61831603411,2508336.2982210205,7411431.000230055,1341.8021780079985
17,3,2,42705,17,1,1,39396,17,146438.77838513142,35499.30375618694,2489459.2325472343,7411431.000230055,1976.1009698378987
17,4,2,44347,17,2,2,15911,17,149227.93484313836,36175.77160274533,2536874.892333352,7411431.000230055,1341.8021780079985
17,5,2,42961,17,2,2,8322,17,146877.11322221777,35605.615257188445,2496910.924777702,7411431.000230055,1341.8021780079985
17,6,2,44059,17,2,2,11997,17,148742.5100232074,36058.03912618135,2528622.670394526,7411431.000230055,1341.8021780079985
17,7,1,43775,17,3,3,20571,17,148262.2710947527,35941.564411625055,2520458.608610796,7411431.000230055,1081.8988100509855
17,8,2,43069,17,1,1,11183,17,147061.64393626424,35650.3703981804,2500047.946916492,7411431.000230055,1976.1009698378987
17,9,1,43385,17,1,1,36398,17,147600.24231908374,35780.99931289261,2509204.1194244237,7411431.000230055,1976.1009698378987
17,10,2,43581,17,1,1,15961,17,147933.32448728877,35861.78337069446,2514866.5162839093,7411431.000230055,1976.1009698378987
17,11,1,44491,17,1,1,2535,17,149470.05616346732,36234.49448195597,2540990.9547789446,7411431.000230055,1976.1009698378987
17,12,1,46221,17,1,1,9555,17,152348.80162595975,36932.6908723544,2589929.6276413156,7411431.000230055,1976.1009698378987
17,13,2,44007,17,1,1,1153,17,148654.69496134555,36036.740906200655,2527129.8143428746,7411431.000230055,1976.1009698378987
17,14,1,43987,17,2,2,6195,17,148620.90612364016,36028.545932794,2526555.4041018826,7411431.000230055,1341.8021780079985
18,0,3,73357,18,2,2,20826,18,197499.91080405904,46533.67678900229,3554998.394473063,11435204.811481828,1873.7036611400056
18,1,3,72643,18,1,1,47793,18,196536.2932740856,46306.55035236455,3537653.2789335405,11435204.811481828,2765.5378781627746
18,2,3,71851,18,2,2,8114,18,195461.84994197052,46053.30207346156,3518313.2989554694,11435204.811481828,1873.7036611400056
18,3,4,73545,18,2,2,36098,18,197752.85556811487,46593.296339032495,3559551.4002260678,11435204.811481828,1873.7036611400056
18,4,2,69773,18,1,1,45907,18,192614.3061507685,45382.13076365198,3467057.510713833,11435204.811481828,2765.5378781627746
18,5,2,69701,18,2,2,19769,18,192514.887585724,45358.69762562509,3465267.976543032,11435204.811481828,1873.7036611400056
18,6,3,69465,18,1,1,14770,18,192188.6551081469,45281.80403294645,3459395.791946644,11435204.811481828,2765.5378781627746
18,7,2,68373,18,2,2,36619,18,190671.87308994288,44924.29573852917,3432093.7156189717,11435204.811481828,1873.7036611400056
18,8,3,73583,18,3,3,40346,18,197803.9434085413,46605.33783780655,3560470.9813537435,11435204.811481828,1508.1817674341296
18,9,2,73157,18,1,1,60853,18,197230.4645537932,46470.16780835629,3550148.3619682775,11435204.811481828,2765.5378781627746
18,10,4,69963,18,2,2,638,18,192876.41468121918,45443.91022496471,3471775.4642619453,11435204.811481828,1873.7036611400056
18,11,3,72283,18,1,1,36540,18,196048.63983388199,46191.60953474472,3528875.5170098757,11435204.811481828,2765.5378781627746
18,12,3,72435,18,1,1,18596,18,196254.6857358295,46240.174934730174,3532584.3432449307,11435204.811481828,2765.5378781627746
18,13,4,71839,18,2,2,21478,18,195445.5250775498,46049.454272787516,3518019.4513958963,11435204.811481828,1873.7036611400056
18,14,2,68733,18,3,3,4062,18,191173.24067447038,45042.468993567214,3441118.3321404667,11435204.811481828,1508.1817674341296
19,0,5,117151,19,1,1,19492,19,256431.4420840496,58811.74772067173,4872197.399596943,12401438.335709147,3879.7659333880206
19,1,7,118069,19,1,1,108077,19,257434.27495573755,59041.81311181525,4891251.2241590135,12401438.335709147,3879.7659333880206
19,2,7,118261,19,1,1,37116,19,257643.52425539267,59089.81814194051,4895226.960852461,12401438.335709147,3879.7659333880206
19,3,4,117251,19,1,1,35377,19,256540.8733766852,58836.85295381654,4874276.594157019,12401438.335709147,3879.7659333880206
19,4,7,113975,19,4,4,40914,19,252931.27707276636,58008.755677165944,4805694.264382561,12401438.335709147,1811.8108219790156
19,5,7,110443,19,2,2,35453,19,248981.00076665994,57102.50116371588,4730639.014566539,12401438.335709147,2623.9348018213077
19,6,8,116857,19,1,1,15507,19,256109.44329421758,58737.876212059695,4866079.422590134,12401438.335709147,3879.7659333880206
19,7,8,116483,19,1,1,96567,19,255699.2398329185,58643.769186235724,4858285.556825452,12401438.335709147,3879.7659333880206
19,8,5,114845,19,2,2,8832,19,253894.87359074116,58229.81963446699,4824002.598224082,12401438.335709147,2623.9348018213077
19,9,6,114051,19,2,2,22869,19,253015.5995950712,58028.10056898617,4807296.392306353,12401438.335709147,2623.9348018213077
19,10,6,118309,19,2,2,63619,19,257695.81003413402,59101.81330938177,4896220.390648547,12401438.335709147,2623.9348018213077
19,11,6,116607,19,2,2,21938,19,255835.31599607793,58674.9871651017,4860871.003925481,12401438.335709147,2623.9348018213077
19,12,4,116789,19,2,2,71788,19,256034.9097251813,58720.777057182175,4864663.284778444,12401438.335709147,2623.9348018213077
