n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,929,10,4,4,23,10,16545.16892077,5216.994398279045,165451.6892077,404755.68001296,107.95606685338727
10,1,0,853,10,1,1,115,10,15853.023381958956,4998.148374398991,158530.23381958954,404755.68001296,216.67124862880527
10,2,0,865,10,3,3,100,10,15964.3018015016,5033.332766393892,159643.01801501602,404755.68001296,124.22161529271375
10,3,0,941,10,1,1,280,10,16651.82899027626,5250.718928875018,166518.2899027626,404755.68001296,216.67124862880527
10,4,0,847,10,2,2,784,10,15797.090650518205,4980.463397921501,157970.90650518204,404755.68001296,150.9692952005997
10,5,0,831,10,1,1,472,10,15646.960675346163,4932.994946725467,156469.60675346164,404755.68001296,216.67124862880527
10,6,0,879,10,1,1,468,10,16093.155541507096,5074.0742685469895,160931.55541507096,404755.68001296,216.67124862880527
10,7,0,935,10,1,1,16,10,16598.584509939577,5233.8837078049555,165985.84509939578,404755.68001296,216.67124862880527
10,8,0,871,10,1,1,571,10,16019.651561577664,5050.83346868006,160196.51561577665,404755.68001296,216.67124862880527
10,9,0,873,10,1,1,175,10,16038.059093476857,5056.653637374737,160380.59093476858,404755.68001296,216.67124862880527
10,10,0,893,10,1,1,716,10,16220.987194768508,5114.492691348493,162209.87194768508,404755.68001296,216.67124862880527
10,11,0,917,10,1,1,327,10,16437.817747590194,5183.051406509249,164378.17747590193,404755.68001296,216.67124862880527
10,12,0,947,10,1,1,56,10,16704.903995684937,5267.50057784366,167049.03995684936,404755.68001296,216.67124862880527
10,13,0,903,10,2,2,225,10,16311.68305090817,5143.16939256172,163116.83050908172,404755.68001296,150.9692952005997
10,14,0,877,10,1,1,441,10,16074.811011441425,5068.274014555431,160748.11011441424,404755.68001296,216.67124862880527
11,0,0,1445,11,2,2,338,11,21648.76699383407,6511.833839164306,238136.43693217478,667488.0860602041,202.2898526451104
11,1,0,1391,11,1,1,1253,11,21239.978796948515,6388.590137788129,233639.76676643366,667488.0860602041,288.1409568328545
11,2,0,1413,11,1,1,414,11,21407.46344022582,6439.084275273977,235482.097842484,667488.0860602041,288.1409568328545
11,3,0,1463,11,3,3,91,11,21783.32684353067,6552.401765341433,239616.59527883737,667488.0860602041,163.57640052388575
11,4,0,1405,11,1,1,468,11,21346.711811809942,6420.768551830314,234813.82992990938,667488.0860602041,288.1409568328545
11,5,0,1505,11,3,3,1247,11,22094.116385457506,6646.100654464682,243035.28024003256,667488.0860602041,163.57640052388575
11,6,0,1371,11,3,3,168,11,21086.566941599453,6342.338798290104,231952.23635759397,667488.0860602041,163.57640052388575
11,7,0,1341,11,1,1,152,11,20854.335562170043,6272.324685833933,229397.69118387048,667488.0860602041,288.1409568328545
11,8,0,1413,11,1,1,656,11,21407.46344022582,6439.084275273977,235482.097842484,667488.0860602041,288.1409568328545
11,9,0,1511,11,2,2,152,11,22138.15909570519,6659.3789598294,243519.75005275707,667488.0860602041,202.2898526451104
11,10,0,1389,11,1,1,357,11,21224.6874561379,6383.980028623904,233471.5620175169,667488.0860602041,288.1409568328545
11,11,0,1385,11,1,1,724,11,21194.071712708108,6374.749844405658,233134.7888397892,667488.0860602041,288.1409568328545
11,12,0,1443,11,1,1,59,11,21633.764290846266,6507.310735155751,237971.40719930892,667488.0860602041,288.1409568328545
11,13,0,1391,11,3,3,51,11,21239.978796948515,6388.590137788129,233639.76676643366,667488.0860602041,163.57640052388575
11,14,0,1443,11,1,1,1145,11,21633.764290846266,6507.310735155751,237971.40719930892,667488.0860602041,288.1409568328545
12,0,0,2185,12,1,1,103,12,27811.213881199328,8012.496636187681,333734.5665743919,1083752.377338422,391.3658604966136
12,1,0,2135,12,1,1,129,12,27490.904849101422,7920.036635649592,329890.85818921705,1083752.377338422,391.3658604966136
12,2,0,2163,12,1,1,1021,12,27670.734333874396,7971.9459725768165,332048.81200649275,1083752.377338422,391.3658604966136
