n,time,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,time_detect,time_binary_search,time_grover
25,0,7385,25,0,0,0,0,0.283901,17.8258,0.0522263
25,0,9225,22,0,0,0,0,0.317314,25.3012,0.0522263
25,0,14777,24,0,0,0,0,0.401628,25.3012,0.0522263
25,0,6699,25,0,0,0,0,0.27039,17.8258,0.0522263
25,0,6265,24,0,0,0,0,0.261481,17.8258,0.0522263
25,0,8811,25,0,0,0,0,0.31011,25.3012,0.0522263
25,0,7821,25,0,0,0,0,0.292164,17.8258,0.0522263
25,0,9005,25,0,0,0,0,0.313506,25.3012,0.0522263
25,0,1961,23,0,0,0,0,0.146063,8.7925,0.0522263
25,0,3989,21,0,0,0,0,0.208358,12.5242,0.0522263
25,0,7535,25,0,0,0,0,0.286771,17.8258,0.0522263
25,0,6699,23,0,0,0,0,0.27039,17.8258,0.0522263
25,0,5063,22,0,0,0,0,0.234748,17.8026,0.0522263
25,0,8003,25,0,0,0,0,0.295545,17.8258,0.0522263
25,0,5209,23,0,0,0,0,0.23811,17.8026,0.0522263
25,0,3387,23,0,0,0,0,0.191986,12.5242,0.0522263
25,0,4583,24,0,0,0,0,0.223339,17.8026,0.0522263
30,0,29061,29,0,0,0,0,0.617838,47.2222,0.316539
30,0,43777,30,0,0,0,0,0.758323,66.9043,0.316539
30,0,66031,30,0,0,0,0,0.932563,94.863,0.316539
30,0,42429,27,0,0,0,0,0.746555,66.9043,0.316539
30,0,11191,28,0,0,0,0,0.38287,33.2625,0.316539
30,0,10975,26,0,0,0,0,0.379157,33.2625,0.316539
30,0,35413,29,0,0,0,0,0.682035,66.9043,0.316539
30,0,25405,30,0,0,0,0,0.577663,47.2222,0.316539
30,0,19355,28,0,0,0,0,0.504199,47.2222,0.316539
30,0,14367,29,0,0,0,0,0.433822,33.2625,0.316539
30,0,9117,29,0,0,0,0,0.345567,33.2625,0.316539
30,0,19977,26,0,0,0,0,0.512238,47.2222,0.316539
30,0,8193,24,0,0,0,0,0.327583,33.2625,0.316539
30,0,10805,26,0,0,0,0,0.376208,33.2625,0.316539
30,0,24367,27,0,0,0,0,0.565737,47.2222,0.316539
30,0,42819,28,0,0,0,0,0.749978,66.9043,0.316539
30,0,29107,28,0,0,0,0,0.618327,47.2222,0.316539
30,0,16577,27,0,0,0,0,0.466002,47.1609,0.316539
30,0,18065,27,0,0,0,0,0.487104,47.2222,0.316539
