n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,629,10,1,1,519,10,13610.110785600376,4288.9937528391865,136101.10785600377,404755.68001296,216.67124862880527
10,1,0,629,10,3,3,69,10,13610.110785600376,4288.9937528391865,136101.10785600377,404755.68001296,124.22161529271375
10,2,0,625,10,1,1,369,10,13566.694975845614,4275.267105349691,135666.94975845615,404755.68001296,216.67124862880527
10,3,0,581,10,2,2,412,10,13079.629805550432,4121.274355952887,130796.29805550432,404755.68001296,150.9692952005997
10,4,0,629,10,1,1,517,10,13610.110785600376,4288.9937528391865,136101.10785600377,404755.68001296,216.67124862880527
10,5,0,677,10,2,2,196,10,14120.709257603103,4450.4293681290665,141207.09257603102,404755.68001296,150.9692952005997
10,6,0,731,10,1,1,195,10,14673.944024818775,4625.34761201704,146739.44024818775,404755.68001296,216.67124862880527
10,7,0,625,10,1,1,528,10,13566.694975845614,4275.267105349691,135666.94975845615,404755.68001296,216.67124862880527
10,8,0,699,10,2,2,75,10,14348.67222076889,4522.504966161721,143486.7222076889,404755.68001296,150.9692952005997
10,9,0,613,10,3,3,419,10,13435.607248476155,4233.821591534272,134356.07248476156,404755.68001296,124.22161529271375
10,10,0,625,10,2,2,13,10,13566.694975845614,4275.267105349691,135666.94975845615,404755.68001296,150.9692952005997
10,11,0,729,10,1,1,266,10,14653.82573279018,4618.986699070565,146538.25732790178,404755.68001296,216.67124862880527
10,12,0,671,10,1,1,666,10,14057.897035690356,4430.569948732162,140578.97035690356,404755.68001296,216.67124862880527
10,13,0,699,10,1,1,101,10,14348.67222076889,4522.504966161721,143486.7222076889,404755.68001296,216.67124862880527
10,14,0,643,10,1,1,234,10,13760.989271550032,4336.696684300356,137609.89271550032,404755.68001296,216.67124862880527
10,15,0,675,10,1,1,644,10,14099.802890561172,4443.819372197979,140998.02890561172,404755.68001296,216.67124862880527
10,16,0,647,10,2,2,354,10,13803.795015264244,4350.2305215586875,138037.95015264244,404755.68001296,150.9692952005997
10,17,0,635,10,1,1,292,10,13674.976490210052,4309.502180947356,136749.76490210052,404755.68001296,216.67124862880527
10,18,0,743,10,1,1,437,10,14794.080148816263,4663.331781780218,147940.80148816263,404755.68001296,216.67124862880527
10,19,0,677,10,1,1,326,10,14120.709257603103,4450.4293681290665,141207.09257603102,404755.68001296,216.67124862880527
11,0,0,1001,11,1,1,998,11,18014.61280203226,5416.205969134552,198160.74082235488,467060.8670949125,288.1409568328545
11,1,0,953,11,2,2,312,11,17576.84072478407,5284.2291629016245,193345.24797262475,467060.8670949125,202.2898526451104
11,2,0,1037,11,4,4,381,11,18336.092764615038,5513.1242503222,201697.02041076543,667488.0860602041,144.34056196408565
11,3,0,1031,11,1,1,1010,11,18282.904836485304,5497.089373517072,201111.95320133836,667488.0860602041,288.1409568328545
11,4,0,991,11,1,1,377,11,17924.29088657203,5388.97621351818,197167.19975229233,467060.8670949125,288.1409568328545
11,5,0,897,11,2,2,359,11,17051.926973092803,5125.982537283663,187571.19670402084,467060.8670949125,202.2898526451104
11,6,0,1065,11,2,2,443,11,18582.292750730852,5587.347745385861,204405.22025803936,667488.0860602041,202.2898526451104
11,7,0,1057,11,1,1,979,11,18512.283596356243,5566.241611611567,203635.11955991868,667488.0860602041,288.1409568328545
11,8,0,911,11,3,3,113,11,17184.656631185466,5165.996649047625,189031.22294304013,467060.8670949125,163.57640052388575
11,9,0,941,11,2,2,112,11,17465.685571626032,5250.718928875018,192122.54128788636,467060.8670949125,202.2898526451104
11,10,0,1005,11,1,1,232,11,18050.615182568214,5427.059778595269,198556.76700825035,467060.8670949125,288.1409568328545
11,11,0,891,11,1,1,207,11,16994.725931485937,5108.738121325238,186941.9852463453,467060.8670949125,288.1409568328545
11,12,0,849,11,2,2,382,11,16588.804509991765,4986.365327278162,182476.8496099094,467060.8670949125,202.2898526451104
11,13,0,743,11,1,1,319,11,15517.259313564771,4663.331781780218,170689.85244921249,467060.8670949125,288.1409568328545
11,14,0,1083,11,1,1,601,11,18738.858226525666,5634.548664777399,206127.44049178233,667488.0860602041,288.1409568328545
11,15,0,913,11,3,3,281,11,17203.534527366282,5171.687789619694,189238.8798010291,467060.8670949125,163.57640052388575
11,16,0,1029,11,2,2,458,11,18265.14115203333,5491.734053770827,200916.55267236664,667488.0860602041,202.2898526451104
11,17,0,1019,11,5,5,290,11,18176.06265080399,5464.879066163654,199936.6891588439,467060.8670949125,129.139409642573
11,18,0,1087,11,1,1,396,11,18773.473453384056,5644.984378058702,206508.20798722462,667488.0860602041,288.1409568328545
11,19,0,725,11,4,4,392,11,15327.871433276521,4606.238652171122,168606.58576604174,467060.8670949125,144.34056196408565
12,0,0,1371,12,2,2,639,12,22025.20728100935,6342.338798290104,264302.48737211217,760658.4642350338,270.32565698837067
12,1,0,1355,12,2,2,176,12,21896.177073008297,6305.0943383174545,262754.1248760996,760658.4642350338,270.32565698837067
12,2,0,1437,12,2,2,1106,12,22549.661947447818,6493.7225868760925,270595.9433693738,760658.4642350338,270.32565698837067
12,3,0,1399,12,1,1,397,12,22249.211511571142,6406.9975214744745,266990.53813885374,760658.4642350338,391.3658604966136
12,4,0,1451,12,1,1,1207,12,22659.35102560277,6525.3844060101055,271912.21230723325,760658.4642350338,391.3658604966136
12,5,0,1291,12,2,2,622,12,21372.27612731477,6153.8711905914115,256467.31352777724,760658.4642350338,270.32565698837067
12,6,0,1641,12,1,1,1059,12,24098.71960985883,6940.86129022841,289184.6353183059,760658.4642350338,391.3658604966136
12,7,0,1353,12,1,1,98,12,21879.994851488573,6300.42335660431,262559.93821786286,760658.4642350338,391.3658604966136
12,8,0,1499,12,2,2,272,12,23031.466168056202,6632.795858948181,276377.59401667444,760658.4642350338,270.32565698837067
12,9,0,1581,12,1,1,1428,12,23653.637306212113,6812.386882660503,283843.64767454535,760658.4642350338,391.3658604966136
12,10,0,1577,12,2,2,688,12,23623.667290398465,6803.735956520831,283484.00748478156,760658.4642350338,270.32565698837067
12,11,0,1455,12,4,4,117,12,22690.59346813662,6534.402560806323,272287.12161763944,760658.4642350338,193.93235222394148
12,12,0,1631,12,2,2,218,12,24025.111286936004,6919.6139911822365,288301.33544323203,760658.4642350338,270.32565698837067
12,13,0,1511,12,3,3,362,12,23123.5602380871,6659.3789598294,277482.7228570452,760658.4642350338,220.8723312005291
12,14,0,1495,12,3,3,288,12,23000.686284062613,6623.911199978439,276008.23540875135,760658.4642350338,220.8723312005291
12,15,0,1251,12,1,1,1165,12,21038.221206114587,6057.447150434631,252458.65447337506,760658.4642350338,391.3658604966136
12,16,0,1219,12,2,2,226,12,20767.112967369063,5979.192718039381,249205.35560842877,760658.4642350338,270.32565698837067
12,17,0,1325,12,1,1,558,12,21652.175250837678,6234.663528642158,259826.10301005212,760658.4642350338,391.3658604966136
12,18,0,1435,12,1,1,121,12,22533.94853698525,6489.186903529762,270407.382443823,760658.4642350338,391.3658604966136
12,19,0,1359,12,1,1,774,12,21928.50572842344,6314.425973550964,263142.0687410813,760658.4642350338,391.3658604966136
13,0,0,2189,13,1,1,1745,13,28974.262432938525,8019.847518495947,376665.41162820085,1222129.0617312584,535.2056336348548
13,1,0,2199,13,2,2,2188,13,29040.42037874206,8038.1953980013905,377525.46492364677,1222129.0617312584,368.26683467442604
13,2,0,1989,13,1,1,491,13,27617.870436172772,7643.674339381375,359032.315670246,857806.2980924004,535.2056336348548
13,3,0,2235,13,1,1,1959,13,29277.352146959864,8103.904785039346,380605.5779104782,1222129.0617312584,535.2056336348548
13,4,0,1801,13,2,2,626,13,26279.15996723449,7272.407095787035,341629.07957404834,857806.2980924004,368.26683467442604
13,5,0,2049,13,1,1,98,13,28031.67468194764,7758.435963883723,364411.7708653193,1222129.0617312584,535.2056336348548
13,6,0,1665,13,1,1,686,13,25266.595331873305,6991.592230707315,328465.739314353,857806.2980924004,535.2056336348548
13,7,0,2359,13,2,2,156,13,30079.179526071115,8326.279721537487,391029.3338389245,1222129.0617312584,368.26683467442604
13,8,0,1507,13,1,1,310,13,24036.780943369482,6650.529691788122,312478.1522638033,857806.2980924004,535.2056336348548
13,9,0,1729,13,1,1,557,13,25748.052661721875,7125.114745342766,334724.6846023844,857806.2980924004,535.2056336348548
13,10,0,1471,13,1,1,336,13,23747.671576935925,6570.35183399469,308719.730500167,857806.2980924004,535.2056336348548
13,11,0,2087,13,2,2,90,13,28290.622841940327,7830.250970658974,367778.0969452243,1222129.0617312584,368.26683467442604
13,12,0,1767,13,2,2,644,13,26029.708539017054,7203.226509093092,338386.2110072217,857806.2980924004,368.26683467442604
13,13,0,1821,13,2,2,591,13,26424.797071883615,7312.796805475505,343522.361934487,857806.2980924004,368.26683467442604
13,14,0,2059,13,1,1,1198,13,28100.050101592547,7777.398752564222,365300.6513207031,1222129.0617312584,535.2056336348548
13,15,0,2031,13,2,2,1077,13,27908.177125171922,7724.185978783179,362806.302627235,857806.2980924004,368.26683467442604
13,16,0,2059,13,3,3,957,13,28100.050101592547,7777.398752564222,365300.6513207031,1222129.0617312584,299.99909677792004
13,17,0,1977,13,2,2,108,13,27534.3639497896,7620.515250154857,357946.7313472648,857806.2980924004,368.26683467442604
13,18,0,1779,13,1,1,1647,13,26118.02203103574,7227.718558011924,339534.2864034646,857806.2980924004,535.2056336348548
13,19,0,2075,13,2,2,964,13,28209.106329983955,7807.643700321012,366718.3822897914,1222129.0617312584,368.26683467442604
14,0,0,2981,14,3,3,479,14,35093.14212668621,9362.575064596813,491303.98977360694,1365945.6830964186,410.0058473741502
14,1,0,2667,14,1,1,602,14,33192.24666060704,8854.561775010892,464691.4532484985,1365945.6830964186,736.4834675830049
14,2,0,3129,14,1,1,1783,14,35954.29653460323,9592.718895127959,503360.1514844452,1365945.6830964186,736.4834675830049
14,3,0,3313,14,2,2,1226,14,36996.99778471952,9871.381768832087,517957.9689860733,1365945.6830964186,504.81125938588195
14,4,0,3127,14,1,1,3108,14,35942.79674954556,9589.645570410059,503199.15449363785,1365945.6830964186,736.4834675830049
14,5,0,2981,14,1,1,614,14,35093.14212668621,9362.575064596813,491303.98977360694,1365945.6830964186,736.4834675830049
14,6,0,3109,14,2,2,543,14,35839.132742591704,9561.941303532118,501747.8583962839,1365945.6830964186,504.81125938588195
14,7,0,2317,14,4,4,1459,14,30936.164097623783,8251.628493458238,433106.29736673296,1365945.6830964186,354.5764350063729
14,8,0,2691,14,2,2,1302,14,33341.36080662678,8894.412358004549,466779.05129277485,1365945.6830964186,504.81125938588195
14,9,0,2181,14,2,2,469,14,30013.83395768186,8005.139023123022,420193.67540754605,1365945.6830964186,504.81125938588195
14,10,0,2707,14,2,2,212,14,33440.40109594329,8920.880769837222,468165.6153432061,1365945.6830964186,504.81125938588195
14,11,0,3311,14,1,1,1340,14,36985.82200059177,9868.39502697169,517801.5080082847,1365945.6830964186,736.4834675830049
14,12,0,3215,14,1,1,162,14,36445.35697741608,9723.955176123942,510234.9976838251,1365945.6830964186,736.4834675830049
14,13,0,2835,14,2,2,482,14,34222.41341396862,9129.872976505174,479113.78779556067,1365945.6830964186,504.81125938588195
14,14,0,2825,14,2,2,483,14,34161.96291277601,9113.717610009422,478267.4807788642,1365945.6830964186,504.81125938588195
14,15,0,3021,14,1,1,1639,14,35327.9552918254,9425.328923630415,494591.37408555555,1365945.6830964186,736.4834675830049
14,16,0,2503,14,1,1,2181,14,32154.811326667514,8577.308856652968,450167.3585733452,1365945.6830964186,736.4834675830049
14,17,0,2993,14,1,1,1229,14,35163.750610372204,9381.445190438428,492292.5085452109,1365945.6830964186,736.4834675830049
14,18,0,3033,14,2,2,881,14,35398.09570156663,9444.073966959904,495573.3398219328,1365945.6830964186,504.81125938588195
14,19,0,2605,14,1,1,690,14,32803.900209147,8750.776714017951,459254.602928058,1365945.6830964186,736.4834675830049
15,0,0,4423,15,6,6,532,15,44252.69374161373,11409.25786598787,663790.4061242059,2153772.9389938936,398.31647593421076
15,1,0,4951,15,3,3,2260,15,46820.9247627184,12072.354561678287,702313.871440776,2153772.9389938936,563.6848043032306
15,2,0,4735,15,1,1,2129,15,45787.6906141452,11805.581535023219,686815.3592121779,2153772.9389938936,1018.9831563404214
15,3,0,4489,15,1,1,3904,15,44581.81011236827,11494.232965071305,668727.151685524,2153772.9389938936,1018.9831563404214
15,4,0,3751,15,1,1,791,15,40750.74421128051,10505.086117373146,611261.1631692076,1515004.1199615784,1018.9831563404214
15,5,0,5283,15,1,1,1766,15,48366.046865881246,12471.293628169899,725490.7029882187,2153772.9389938936,1018.9831563404214
15,6,0,4589,15,1,1,3062,15,45075.89511959011,11621.801654023531,676138.4267938517,2153772.9389938936,1018.9831563404214
15,7,0,3499,15,1,1,3034,15,39357.30792504784,10145.314821663867,590359.6188757176,1515004.1199615784,1018.9831563404214
15,8,0,3037,15,1,1,1039,15,36665.47844019694,9450.314072249623,549982.176602954,1515004.1199615784,1018.9831563404214
15,9,0,3993,15,1,1,3356,15,42045.463914879685,10839.370516521654,630681.9587231952,1515004.1199615784,1018.9831563404214
15,10,0,4343,15,1,1,3439,15,43850.45497705063,11305.403223869751,657756.8246557594,2153772.9389938936,1018.9831563404214
15,11,0,3705,15,1,1,529,15,40499.96187739916,10440.336567056725,607499.4281609874,1515004.1199615784,1018.9831563404214
15,12,0,3935,15,4,4,205,15,41738.81662435277,10760.19702185308,626082.2493652916,1515004.1199615784,486.687823275769
15,13,0,4375,15,1,1,685,15,44011.79139833003,11347.058914857304,660176.8709749505,2153772.9389938936,1018.9831563404214
15,14,0,4781,15,1,1,1905,15,46009.674832500394,11862.89610883467,690145.1224875059,2153772.9389938936,1018.9831563404214
15,15,0,3775,15,1,1,294,15,40880.976804343794,10538.710911986886,613214.652065157,1515004.1199615784,1018.9831563404214
15,16,0,3743,15,4,4,430,15,40707.240811209784,10493.853962266434,610608.6121681468,1515004.1199615784,486.687823275769
15,17,0,3641,15,4,4,398,15,40148.44303575406,10349.577879486804,602226.645536311,1515004.1199615784,486.687823275769
15,18,0,4757,15,3,3,1200,15,45893.990873002054,11833.02742137742,688409.8630950308,2153772.9389938936,563.6848043032306
15,19,0,4705,15,2,2,282,15,45642.33693941966,11768.052370918589,684635.054091295,2153772.9389938936,695.9487945820046
16,0,0,5957,16,1,1,5777,16,53045.254180078824,13244.343023165544,848724.0668812612,2372837.192927164,1416.3357787609364
16,1,0,4949,16,1,1,3720,16,48347.41925444374,12069.9114345932,773558.7080710998,2372837.192927164,1416.3357787609364
16,2,0,6039,16,1,1,2138,16,53409.255490816984,13335.341446975928,854548.0878530717,2372837.192927164,1416.3357787609364
16,3,0,5493,16,1,1,2180,16,50936.58136387046,12717.186383470105,814985.3018219273,2372837.192927164,1416.3357787609364
16,4,0,4811,16,1,1,2220,16,47668.26303887691,11900.12674708099,762692.2086220306,2372837.192927164,1416.3357787609364
16,5,0,6213,16,4,4,4797,16,54173.55134497617,13526.411496160588,866776.8215196187,2372837.192927164,671.6633813398583
16,6,0,5725,16,1,1,4242,16,52001.60251891595,12983.435714289604,832025.6403026552,2372837.192927164,1416.3357787609364
16,7,0,5905,16,2,2,1553,16,52813.12474886968,13186.311893192296,845009.9959819149,2372837.192927164,964.288510389305
16,8,0,5159,16,1,1,2319,16,49363.00076892983,12323.800507967442,789808.0123028773,2372837.192927164,1416.3357787609364
16,9,0,6197,16,2,2,3170,16,54103.72183580572,13508.954471912648,865659.5493728915,2372837.192927164,964.288510389305
16,10,0,4591,16,1,1,1895,16,46565.081700382856,11624.338776276136,745041.3072061257,2372837.192927164,1416.3357787609364
16,11,0,5627,16,1,1,1180,16,51554.40572323072,12871.638987110919,824870.4915716915,2372837.192927164,1416.3357787609364
16,12,0,4665,16,1,1,3577,16,46939.04426062673,11717.826881349336,751024.7081700277,2372837.192927164,1416.3357787609364
16,13,0,5701,16,4,4,953,16,51892.44111104388,12956.145961749204,830279.0577767021,2372837.192927164,671.6633813398583
16,14,0,6325,16,1,1,5824,16,54659.861160278364,13647.986516301284,874557.7785644538,2372837.192927164,1416.3357787609364
16,15,0,5665,16,2,2,4715,16,51728.26726476257,12915.103406452348,827652.2762362012,2372837.192927164,964.288510389305
16,16,0,5373,16,1,1,1427,16,50376.87822699884,12577.263831276248,806030.0516319814,2372837.192927164,1416.3357787609364
16,17,0,5705,16,1,1,5471,16,51910.650613102014,12960.698237096527,830570.4098096322,2372837.192927164,1416.3357787609364
16,18,0,5833,16,1,1,681,16,52490.02080424768,13105.537634137245,839840.3328679629,2372837.192927164,1416.3357787609364
16,19,0,6319,16,3,3,1032,16,54633.918540108425,13641.500989992363,874142.6966417348,2372837.192927164,779.1233637530053
17,0,0,9449,17,1,1,1406,17,68870.48375469411,16686.34692042118,1170798.2238297998,3688985.412243937,1976.1009698378987
17,1,0,7861,17,1,1,4481,17,62815.266117243,15217.762392891826,1067859.523993131,2598867.6220485405,1976.1009698378987
17,2,0,8669,17,3,3,5398,17,65965.72784171291,15981.849935765193,1121417.3733091196,3688985.412243937,1081.8988100509855
17,3,0,7427,17,4,4,2191,17,61056.01607639271,14791.08861944434,1037952.2732986761,2598867.6220485405,931.3971968799622
17,4,0,7973,17,3,3,2981,17,63261.327728464465,15325.946503040155,1075442.5713838958,2598867.6220485405,1081.8988100509855
17,5,0,8413,17,3,3,1438,17,64984.087807426986,15743.770768563041,1104729.4927262587,3688985.412243937,1081.8988100509855
17,6,0,10523,17,2,2,187,17,72680.4416656622,17610.385769434564,1235567.5083162575,3688985.412243937,1341.8021780079985
17,7,0,7241,17,1,1,2799,17,60286.344197512364,14604.418976007973,1024867.8513577102,2598867.6220485405,1976.1009698378987
17,8,0,6899,17,1,1,114,17,58844.8843671968,14254.819846407929,1000363.0342423456,2598867.6220485405,1976.1009698378987
17,9,0,8803,17,2,2,1384,17,66473.77748618978,16105.068296876934,1130054.2172652262,3688985.412243937,1341.8021780079985
17,10,0,6827,17,1,1,6410,17,58536.89809671983,14180.123574967834,995127.2676442371,2598867.6220485405,1976.1009698378987
17,11,0,7383,17,1,1,1047,17,60874.82156977673,14747.14324416755,1034871.9666862044,2598867.6220485405,1976.1009698378987
17,12,0,10885,17,1,1,6383,17,73920.39570929977,17911.115258491547,1256646.727058096,3688985.412243937,1976.1009698378987
17,13,0,10571,17,1,1,5335,17,72846.0688372873,17650.555779209015,1238383.1702338841,3688985.412243937,1976.1009698378987
17,14,0,8353,17,1,1,6355,17,64751.864038655585,15687.449078066467,1100781.688657145,3688985.412243937,1976.1009698378987
17,15,0,7969,17,2,2,2153,17,63245.45110936895,15322.095918162117,1075172.6688592723,2598867.6220485405,1341.8021780079985
17,16,0,7843,17,1,1,6238,17,62743.28197072525,15200.303953032602,1066635.7935023292,2598867.6220485405,1976.1009698378987
17,17,0,8479,17,3,3,1747,17,65238.57954398856,15805.493160301061,1109055.8522478056,3688985.412243937,1081.8988100509855
17,18,0,9017,17,1,1,4838,17,67277.18748287133,16299.921087322266,1143712.1872088127,3688985.412243937,1976.1009698378987
17,19,0,7543,17,1,1,5402,17,61531.15406410497,14906.324568678465,1046029.6190897846,2598867.6220485405,1976.1009698378987
18,0,0,8271,18,1,1,2847,18,66301.81583490831,15610.147952823305,1193432.6850283495,4019373.597793829,2765.5378781627746
18,1,0,11735,18,1,1,6075,18,78979.07059689931,18598.167214177593,1421623.2707441878,4019373.597793829,2765.5378781627746
18,2,0,9825,18,2,2,4953,18,72264.50911863016,17015.5485289307,1300761.164135343,4019373.597793829,1873.7036611400056
18,3,0,10673,18,2,2,2999,18,75319.53164102434,17735.615353637044,1355751.5695384382,4019373.597793829,1873.7036611400056
18,4,0,12273,18,2,2,7195,18,80769.72978646054,19020.225186811585,1453855.1361562896,4019373.597793829,1873.7036611400056
18,5,0,9583,18,1,1,567,18,71368.70153172774,16804.407406649218,1284636.6275710994,4019373.597793829,2765.5378781627746
18,6,0,9945,18,2,2,4549,18,72704.61912091047,17119.282124633093,1308683.1441763886,4019373.597793829,1873.7036611400056
18,7,0,13897,18,2,2,1657,18,85949.07581710085,20240.996936595555,1547083.3647078152,4019373.597793829,1873.7036611400056
18,8,0,14971,18,2,2,12109,18,89209.33811607814,21009.441394975096,1605768.0860894066,4019373.597793829,1873.7036611400056
18,9,0,10435,18,2,2,5354,18,74474.75545195091,17536.502081512797,1340545.5981351165,4019373.597793829,1873.7036611400056
18,10,0,7845,18,1,1,4395,18,64571.202028067535,15202.244768285796,1162281.6365052157,2831656.06257681,2765.5378781627746
18,11,0,8929,18,1,1,247,18,68889.56657319647,16220.07767881151,1240012.1983175364,4019373.597793829,2765.5378781627746
18,12,0,13857,18,1,1,10055,18,85825.25925721848,20211.81335941661,1544854.6666299326,4019373.597793829,2765.5378781627746
18,13,0,10373,18,1,1,8038,18,74253.11024433273,17484.260439856418,1336555.984397989,4019373.597793829,2765.5378781627746
18,14,0,12981,18,3,3,832,18,83067.42409343681,19561.79150452126,1495213.6336818626,4019373.597793829,1508.1817674341296
