n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,807,10,1,1,109,10,15419.029226475323,4860.927294545924,154190.29226475323,404755.68001296,216.67124862880527
10,1,0,709,10,1,1,246,10,14451.10490534885,4554.891483683649,144511.0490534885,404755.68001296,216.67124862880527
10,2,0,675,10,1,1,409,10,14099.802890561172,4443.819372197979,140998.02890561172,404755.68001296,216.67124862880527
10,3,0,743,10,2,2,21,10,14794.080148816263,4663.331781780218,147940.80148816263,404755.68001296,150.9692952005997
10,4,0,729,10,2,2,187,10,14653.82573279018,4618.986699070565,146538.25732790178,404755.68001296,150.9692952005997
10,5,0,689,10,1,1,324,10,14245.50419740613,4489.886034282108,142455.04197406129,404755.68001296,216.67124862880527
10,6,0,775,10,2,2,163,10,15109.781151654892,4763.149359732416,151097.8115165489,404755.68001296,150.9692952005997
10,7,0,717,10,3,3,58,10,14532.532045339427,4580.63665677138,145325.32045339426,404755.68001296,124.22161529271375
10,8,0,761,10,2,2,315,10,14972.47981353475,4719.737673442597,149724.7981353475,404755.68001296,150.9692952005997
10,9,0,675,10,2,2,114,10,14099.802890561172,4443.819372197979,140998.02890561172,404755.68001296,150.9692952005997
10,10,0,697,10,2,2,86,10,14328.097949050985,4515.999932761004,143280.97949050984,404755.68001296,150.9692952005997
10,11,0,693,10,1,1,303,10,14286.86066275022,4502.961817560047,142868.6066275022,404755.68001296,216.67124862880527
10,12,0,727,10,2,2,500,10,14633.679825687916,4612.617057798405,146336.79825687915,404755.68001296,150.9692952005997
10,13,0,735,10,3,3,303,10,14714.098215883138,4638.043395822169,147140.98215883138,404755.68001296,124.22161529271375
10,14,0,789,10,3,3,495,10,15245.847891364781,4806.170813736282,152458.47891364782,404755.68001296,124.22161529271375
10,15,0,703,10,1,1,62,10,14389.732654744892,4535.487184691192,143897.32654744893,404755.68001296,216.67124862880527
10,16,0,791,10,1,1,381,10,15265.18713934389,4812.285488576536,152651.8713934389,404755.68001296,216.67124862880527
10,17,0,779,10,1,1,384,10,15148.781884136451,4775.480562559361,151487.81884136453,404755.68001296,216.67124862880527
10,18,0,687,10,2,2,30,10,14224.780948394431,4483.333914682977,142247.80948394432,404755.68001296,150.9692952005997
10,19,0,665,10,1,1,130,10,13994.803362004302,4410.621574385974,139948.03362004302,404755.68001296,216.67124862880527
11,0,0,1113,11,2,2,536,11,18996.93691889295,5712.353695394179,208966.30610782243,667488.0860602041,202.2898526451104
11,1,0,1067,11,1,1,649,11,18599.753916275622,5592.611884020541,204597.29307903184,667488.0860602041,288.1409568328545
11,2,0,1091,11,1,1,543,11,18808.025050572625,5655.400912713933,206888.27555629888,667488.0860602041,288.1409568328545
11,3,0,1067,11,1,1,178,11,18599.753916275622,5592.611884020541,204597.29307903184,667488.0860602041,288.1409568328545
11,4,0,1081,11,2,2,340,11,18721.526641835688,5629.32358296374,205936.79306019258,667488.0860602041,202.2898526451104
11,5,0,911,11,2,2,120,11,17184.656631185466,5165.996649047625,189031.22294304013,467060.8670949125,202.2898526451104
11,6,0,1019,11,2,2,465,11,18176.06265080399,5464.879066163654,199936.6891588439,467060.8670949125,202.2898526451104
11,7,0,1135,11,1,1,1090,11,19183.99081954385,5768.74646346272,211023.89901498237,667488.0860602041,288.1409568328545
11,8,0,921,11,1,1,597,11,17278.840138135252,5194.3902731930875,190067.24151948778,467060.8670949125,288.1409568328545
