n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,499,10,1,1,201,10,12119.89729120456,3817.848163850419,121198.97291204559,281985.22061076347,216.67124862880527
10,1,0,595,10,1,1,193,10,13236.545933668021,4170.88542904835,132365.45933668021,404755.68001296,216.67124862880527
10,2,0,625,10,2,2,331,10,13566.694975845614,4275.267105349691,135666.94975845615,404755.68001296,150.9692952005997
10,3,0,699,10,2,2,262,10,14348.67222076889,4522.504966161721,143486.7222076889,404755.68001296,150.9692952005997
10,4,0,685,10,2,2,118,10,14204.027513696135,4476.772254550838,142040.27513696137,404755.68001296,150.9692952005997
10,5,0,721,10,1,1,519,10,14573.075269702906,4593.455402488164,145730.75269702906,404755.68001296,216.67124862880527
10,6,0,619,10,2,2,130,10,13501.309938131017,4254.594544313636,135013.09938131017,404755.68001296,150.9692952005997
10,7,0,597,10,1,1,100,10,13258.8111884267,4177.924898136188,132588.111884267,404755.68001296,216.67124862880527
10,8,0,691,10,1,1,321,10,14266.197392063732,4496.428654842885,142661.97392063733,404755.68001296,216.67124862880527
10,9,0,661,10,1,1,143,10,13952.582669065694,4397.2726442231815,139525.82669065695,404755.68001296,216.67124862880527
10,10,0,587,10,2,2,219,10,13147.108505824575,4142.608594287052,131471.08505824575,404755.68001296,150.9692952005997
10,11,0,607,10,1,1,252,10,13369.582231774453,4212.946770057781,133695.82231774455,404755.68001296,216.67124862880527
10,12,0,739,10,4,4,117,10,14754.143295661566,4650.704692567816,147541.43295661567,404755.68001296,107.95606685338727
10,13,0,689,10,2,2,264,10,14245.50419740613,4489.886034282108,142455.04197406129,404755.68001296,150.9692952005997
10,14,0,567,10,3,3,104,10,12920.811543573447,4071.0621493613644,129208.11543573448,404755.68001296,124.22161529271375
10,15,0,677,10,1,1,14,10,14120.709257603103,4450.4293681290665,141207.09257603102,404755.68001296,216.67124862880527
10,16,0,705,10,2,2,483,10,14410.219067661743,4541.964449017134,144102.19067661744,404755.68001296,150.9692952005997
10,17,0,637,10,1,1,317,10,13696.53023992848,4316.316784438545,136965.3023992848,404755.68001296,216.67124862880527
10,18,0,709,10,3,3,365,10,14451.10490534885,4554.891483683649,144511.0490534885,404755.68001296,124.22161529271375
10,19,0,643,10,2,2,118,10,13760.989271550032,4336.696684300356,137609.89271550032,404755.68001296,150.9692952005997
11,0,0,947,11,1,1,869,11,17521.351178669564,5267.50057784366,192734.8629653652,467060.8670949125,288.1409568328545
11,1,0,1021,11,1,1,680,11,18193.913197730555,5470.260566606477,200133.0451750361,467060.8670949125,288.1409568328545
11,2,0,971,11,1,1,68,11,17742.269469096685,5334.101497799142,195164.96416006354,467060.8670949125,288.1409568328545
11,3,0,763,11,1,1,695,11,15725.01925292349,4725.963639246794,172975.21178215838,467060.8670949125,288.1409568328545
11,4,0,863,11,1,1,421,11,16725.204819577277,5027.485722850033,183977.25301535006,467060.8670949125,288.1409568328545
11,5,0,983,11,2,2,184,11,17851.704747888474,5367.093366955778,196368.7522267732,467060.8670949125,202.2898526451104
11,6,0,855,11,1,1,651,11,16647.398445612107,5004.029540944245,183121.3829017332,467060.8670949125,288.1409568328545
11,7,0,671,11,1,1,380,11,14745.1426200261,4430.569948732162,162196.5688202871,467060.8670949125,288.1409568328545
11,8,0,835,11,2,2,550,11,16451.274899911507,4944.904581165113,180964.02389902656,467060.8670949125,202.2898526451104
11,9,0,883,11,2,2,89,11,16918.15744381486,5085.65502012778,186099.73188196347,467060.8670949125,202.2898526451104
11,10,0,911,11,1,1,726,11,17184.656631185466,5165.996649047625,189031.22294304013,467060.8670949125,288.1409568328545
11,11,0,787,11,3,3,403,11,15970.769143625404,4800.0483866996265,175678.46057987944,467060.8670949125,163.57640052388575
11,12,0,765,11,2,2,503,11,15745.644693701799,4732.181453392145,173202.09163071978,467060.8670949125,202.2898526451104
11,13,0,965,11,1,1,51,11,17687.29824854273,5317.5291343023655,194560.28073397005,467060.8670949125,288.1409568328545
11,14,0,909,11,2,2,215,11,17165.7580019913,5160.29925974094,188823.3380219043,467060.8670949125,202.2898526451104
11,15,0,955,11,1,1,355,11,17595.298403180976,5289.793652622882,193548.28243499075,467060.8670949125,288.1409568328545
11,16,0,655,11,2,2,473,11,14568.013527488125,4377.173317709017,160248.14880236937,467060.8670949125,202.2898526451104
11,17,0,977,11,1,1,945,11,17797.071115652223,5350.622752027837,195767.78227217446,467060.8670949125,288.1409568328545
11,18,0,917,11,1,1,539,11,17241.228392663972,5183.051406509249,189653.5123193037,467060.8670949125,288.1409568328545
11,19,0,865,11,1,1,662,11,16744.600000127397,5033.332766393892,184190.60000140136,467060.8670949125,288.1409568328545
12,0,0,1289,12,2,2,449,12,21355.69735204854,6149.085765554599,256268.3682245825,760658.4642350338,270.32565698837067
12,1,0,1507,12,2,2,294,12,23092.902981892785,6650.529691788122,277114.83578271343,760658.4642350338,270.32565698837067
12,2,0,1539,12,5,5,296,12,23337.034506935182,6720.9987152965405,280044.41408322216,760658.4642350338,173.60391921524962
12,3,0,1601,12,1,1,807,12,23802.921914282622,6855.478313814193,285635.0629713915,760658.4642350338,391.3658604966136
12,4,0,1191,12,1,1,557,12,20526.959510572233,5909.873445079905,246323.5141268668,760658.4642350338,391.3658604966136
12,5,0,1463,12,1,1,22,12,22752.94978502566,6552.401765341433,273035.3974203079,760658.4642350338,391.3658604966136
12,6,0,1201,12,5,5,373,12,20613.049436700498,5934.722916879967,247356.59324040596,760658.4642350338,173.60391921524962
12,7,0,1105,12,2,2,650,12,19771.13579480491,5691.709264703306,237253.62953765894,760658.4642350338,270.32565698837067
12,8,0,1545,12,1,1,446,12,23382.525681895644,6734.129841531152,280590.30818274774,760658.4642350338,391.3658604966136
