n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,807,10,1,1,565,10,15419.029226475323,4860.927294545924,154190.29226475323,404755.68001296,216.67124862880527
10,1,0,761,10,2,2,631,10,14972.47981353475,4719.737673442597,149724.7981353475,404755.68001296,150.9692952005997
10,2,0,821,10,1,1,75,10,15552.394607427175,4903.094890781745,155523.94607427175,404755.68001296,216.67124862880527
10,3,0,775,10,1,1,709,10,15109.781151654892,4763.149359732416,151097.8115165489,404755.68001296,216.67124862880527
10,4,0,707,10,1,1,185,10,14430.676443489356,4548.432535714247,144306.76443489356,404755.68001296,216.67124862880527
10,5,0,745,10,3,3,33,10,14814.008263609277,4669.632584884506,148140.0826360928,404755.68001296,124.22161529271375
10,6,0,755,10,1,1,549,10,14913.250018134875,4701.010543563831,149132.50018134876,404755.68001296,216.67124862880527
10,7,0,799,10,2,2,740,10,15342.300723365583,4836.667250668995,153423.00723365584,404755.68001296,150.9692952005997
10,8,0,781,10,1,1,502,10,15168.244702715308,4781.634295870648,151682.44702715307,404755.68001296,216.67124862880527
10,9,0,793,10,2,2,366,10,15284.501954452413,4818.392440593443,152845.01954452414,404755.68001296,150.9692952005997
10,10,0,757,10,1,1,668,10,14933.019346142828,4707.261158065031,149330.19346142828,404755.68001296,216.67124862880527
10,11,0,771,10,2,2,360,10,15070.679645068383,4750.786304190214,150706.79645068385,404755.68001296,150.9692952005997
10,12,0,775,10,2,2,370,10,15109.781151654892,4763.149359732416,151097.8115165489,404755.68001296,150.9692952005997
10,13,0,781,10,1,1,526,10,15168.244702715308,4781.634295870648,151682.44702715307,404755.68001296,216.67124862880527
10,14,0,801,10,1,1,247,10,15361.518724920314,4842.743601446877,153615.18724920313,404755.68001296,216.67124862880527
10,15,0,755,10,1,1,267,10,14913.250018134875,4701.010543563831,149132.50018134876,404755.68001296,216.67124862880527
10,16,0,807,10,1,1,571,10,15419.029226475323,4860.927294545924,154190.29226475323,404755.68001296,216.67124862880527
10,17,0,743,10,1,1,29,10,14794.080148816263,4663.331781780218,147940.80148816263,404755.68001296,216.67124862880527
10,18,0,795,10,2,2,20,10,15303.792429061243,4824.491698975028,153037.92429061243,404755.68001296,150.9692952005997
10,19,0,735,10,1,1,456,10,14714.098215883138,4638.043395822169,147140.98215883138,404755.68001296,216.67124862880527
11,0,0,1267,11,1,1,100,11,20270.13854489454,6096.199098869102,222971.52399383995,667488.0860602041,288.1409568328545
11,1,0,1213,11,1,1,330,11,19832.98787989986,5964.406149669115,218162.86667889848,667488.0860602041,288.1409568328545
11,2,0,1175,11,2,2,747,11,19519.50234891292,5869.89633821625,214714.52583804211,667488.0860602041,202.2898526451104
11,3,0,1203,11,1,1,445,11,19750.973532346088,5939.6803840314315,217260.70885580697,667488.0860602041,288.1409568328545
11,4,0,1091,11,2,2,676,11,18808.025050572625,5655.400912713933,206888.27555629888,667488.0860602041,202.2898526451104
11,5,0,1173,11,2,2,129,11,19502.863693355666,5864.880114707331,214531.50062691234,667488.0860602041,202.2898526451104
11,6,0,1139,11,2,2,265,11,19217.80524597563,5778.9408056809625,211395.85770573193,667488.0860602041,202.2898526451104
11,7,0,1249,11,1,1,849,11,20125.475531176857,6052.585777637583,221380.23084294543,667488.0860602041,288.1409568328545
11,8,0,1309,11,1,1,667,11,20603.740382408243,6196.7743347589785,226641.14420649066,667488.0860602041,288.1409568328545
11,9,0,1165,11,1,1,688,11,19436.166802010317,5844.772338288192,213797.83482211348,667488.0860602041,288.1409568328545
11,10,0,1221,11,2,2,246,11,19898.356254777813,5984.113485883336,218881.91880255594,667488.0860602041,202.2898526451104
11,11,0,1145,11,1,1,143,11,19268.41575340825,5794.198822114927,211952.57328749076,667488.0860602041,288.1409568328545
11,12,0,1117,11,1,1,270,11,19031.083304378353,5722.648094589909,209341.91634816187,667488.0860602041,288.1409568328545
11,13,0,1195,11,4,4,466,11,19685.116320817666,5919.825702553228,216536.27952899432,667488.0860602041,144.34056196408565
11,14,0,1245,11,1,1,389,11,20093.1869164837,6042.851343862556,221025.0560813207,667488.0860602041,288.1409568328545
11,15,0,1197,11,3,3,255,11,19701.601238064115,5924.795586494522,216717.61361870528,667488.0860602041,163.57640052388575
11,16,0,1221,11,1,1,735,11,19898.356254777813,5984.113485883336,218881.91880255594,667488.0860602041,288.1409568328545
11,17,0,1231,11,1,1,978,11,19979.766320151375,6008.657108230196,219777.42952166512,667488.0860602041,288.1409568328545
11,18,0,1331,11,1,1,865,11,20776.348901988356,6248.812964453552,228539.83792187192,667488.0860602041,288.1409568328545
11,19,0,1161,11,1,1,1107,11,19402.73248186379,5834.692566052532,213430.05730050168,667488.0860602041,288.1409568328545
12,0,0,1771,12,3,3,482,12,25035.95973535014,7211.399738493351,300431.5168242017,760658.4642350338,220.8723312005291
12,1,0,1881,12,2,2,81,12,25802.455817150145,7432.653224575221,309629.46980580175,760658.4642350338,270.32565698837067
12,2,0,1671,12,1,1,330,12,24318.209056659707,7004.217741502594,291818.5086799165,760658.4642350338,391.3658604966136
12,3,0,1683,12,1,1,1509,12,24405.452650574487,7029.400955225653,292865.43180689384,760658.4642350338,391.3658604966136
12,4,0,1769,12,1,1,1381,12,25021.806306385002,7207.314278682238,300261.67567662004,760658.4642350338,391.3658604966136
12,5,0,1621,12,1,1,708,12,23951.2769651364,6898.301466601273,287415.32358163677,760658.4642350338,391.3658604966136
