n,repetition,CPU_time_s,nodes,depth,n_solutions_tree,n_total_solutions,nodes_first_solution,depth_first_solution,q_detect_opt_W_R=n,q_detect_opt_W_R=1,q_binary_search_opt_W_R=n,q_binary_search_est_W_R=n
10,0,0,377,10,2,2,56,10,10531.714580171834,3315.760120489047,105317.14580171835,281985.22061076347,150.9692952005997
10,1,0,691,10,2,2,330,10,14266.197392063732,4496.428654842885,142661.97392063733,404755.68001296,150.9692952005997
10,2,0,443,10,2,2,30,10,11418.300295059524,3596.0405357569284,114183.00295059524,281985.22061076347,150.9692952005997
10,3,0,519,10,1,1,245,10,12360.838476191084,3894.0224272676737,123608.38476191084,404755.68001296,216.67124862880527
10,4,0,423,10,1,1,117,10,11157.06492208706,3513.4536362699596,111570.6492208706,281985.22061076347,216.67124862880527
10,5,0,641,10,3,3,495,10,13739.536472621663,4329.913986205453,137395.36472621662,404755.68001296,124.22161529271375
10,6,0,675,10,1,1,574,10,14099.802890561172,4443.819372197979,140998.02890561172,404755.68001296,216.67124862880527
10,7,0,601,10,1,1,307,10,13303.230097103473,4191.968566356516,133032.30097103474,404755.68001296,216.67124862880527
10,8,0,537,10,1,1,165,10,12573.745853833585,3961.3342939424915,125737.45853833585,404755.68001296,216.67124862880527
10,9,0,611,10,1,1,207,10,13413.634957859427,4226.874710430403,134136.34957859427,404755.68001296,216.67124862880527
10,10,0,683,10,1,1,603,10,14183.243761019376,4470.201012088049,141832.43761019377,404755.68001296,216.67124862880527
10,11,0,521,10,1,1,387,10,12384.6752650267,3901.5585361304525,123846.75265026701,404755.68001296,216.67124862880527
10,12,0,653,10,1,1,126,10,13867.75630151326,4370.453108669978,138677.5630151326,404755.68001296,216.67124862880527
10,13,0,561,10,2,2,535,10,12852.146874566166,4049.3531108492966,128521.46874566167,404755.68001296,150.9692952005997
10,14,0,381,10,1,1,278,10,10587.55606576872,3333.4131387183247,105875.5606576872,281985.22061076347,216.67124862880527
10,15,0,633,10,2,2,60,10,13653.388772200884,4302.676841849971,136533.88772200883,404755.68001296,150.9692952005997
10,16,0,537,10,2,2,252,10,12573.745853833585,3961.3342939424915,125737.45853833585,404755.68001296,150.9692952005997
10,17,0,659,10,1,1,267,10,13931.4244188689,4390.583038923288,139314.24418868902,404755.68001296,216.67124862880527
10,18,0,393,10,1,1,357,10,10753.344486541342,3385.823727408013,107533.44486541342,281985.22061076347,216.67124862880527
10,19,0,413,10,3,3,65,10,11024.13090681276,3471.428319840691,110241.3090681276,281985.22061076347,124.22161529271375
11,0,0,667,11,1,1,170,11,14701.060115128192,4417.280990281723,161711.6612664101,467060.8670949125,288.1409568328545
11,1,0,981,11,1,1,476,11,17833.512110107764,5361.608759854717,196168.6332111854,467060.8670949125,288.1409568328545
11,2,0,671,11,1,1,229,11,14745.1426200261,4430.569948732162,162196.5688202871,467060.8670949125,288.1409568328545
11,3,0,821,11,1,1,644,11,16312.58746655674,4903.094890781745,179438.46213212414,467060.8670949125,288.1409568328545
11,4,0,827,11,2,2,242,11,16372.168591228605,4921.056623500121,180093.85450351465,467060.8670949125,202.2898526451104
11,5,0,697,11,2,2,158,11,15028.532232976406,4515.999932761004,165313.85456274045,467060.8670949125,202.2898526451104
11,6,0,821,11,3,3,381,11,16312.58746655674,4903.094890781745,179438.46213212414,467060.8670949125,163.57640052388575
11,7,0,919,11,1,1,720,11,17260.044496842165,5188.723923522174,189860.48946526382,467060.8670949125,288.1409568328545
